time,magX,magY,magZ,accX,accY,accZ,gyrX,gyrY,gyrZ,eulerX,eulerY,eulerZ,linX,linY,linZ,gravX,gravY,gravZ
1686659465.123488,3.5,-23.1875,-46.875,-0.28,0.33,9.38,0.0,0.0,0.002181661564992912,186.0,-1.4375,-2.0,-0.03,0.0,-0.4,-0.25,0.34,9.790000000000001
1686659465.173818,3.875,-22.5,-45.25,-0.3,0.33,9.4,0.001090830782496456,0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.03,0.02,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659465.224739,3.1875,-23.1875,-45.25,-0.27,0.35000000000000003,9.39,0.002181661564992912,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,-0.01,-0.44,-0.25,0.34,9.790000000000001
1686659465.275038,4.25,-22.5,-45.375,-0.28,0.36,9.370000000000001,0.0,-0.002181661564992912,-0.002181661564992912,186.0,-1.4375,-2.0,-0.03,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659465.324221,3.875,-23.1875,-46.5625,-0.28,0.33,9.39,-0.001090830782496456,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,0.01,-0.4,-0.25,0.34,9.790000000000001
1686659465.374099,5.0,-23.1875,-46.0625,-0.27,0.35000000000000003,9.370000000000001,0.0,0.0,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659465.423331,4.25,-23.5625,-45.6875,-0.28,0.35000000000000003,9.38,0.0,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.02,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659465.473483,3.875,-23.1875,-46.0625,-0.28,0.35000000000000003,9.38,-0.001090830782496456,-0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.02,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659465.523725,3.5,-22.5,-45.6875,-0.27,0.36,9.39,0.0,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659465.573688,4.25,-24.0,-45.6875,-0.29,0.33,9.4,0.0,0.003272492347489368,0.002181661564992912,186.0,-1.4375,-2.0,-0.05,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659465.623926,4.25,-22.875,-45.6875,-0.29,0.35000000000000003,9.39,-0.001090830782496456,-0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.04,0.03,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659465.674173,3.875,-22.875,-45.0,-0.29,0.33,9.39,0.001090830782496456,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659465.724494,4.25,-22.875,-46.5,-0.28,0.35000000000000003,9.370000000000001,0.002181661564992912,0.002181661564992912,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659465.776137,2.875,-23.1875,-46.5625,-0.28,0.35000000000000003,9.36,0.001090830782496456,-0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.02,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659465.824176,3.875,-23.1875,-46.5625,-0.27,0.35000000000000003,9.370000000000001,0.0,0.002181661564992912,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659465.873081,3.1875,-22.5,-45.25,-0.29,0.35000000000000003,9.38,0.001090830782496456,0.003272492347489368,0.0,186.0,-1.4375,-2.0,-0.03,0.01,-0.4,-0.25,0.34,9.790000000000001
1686659465.923008,3.875,-22.875,-46.5625,-0.27,0.35000000000000003,9.38,0.001090830782496456,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,0.0,-0.4,-0.25,0.34,9.790000000000001
1686659465.973454,4.25,-23.1875,-45.375,-0.28,0.33,9.4,-0.001090830782496456,-0.002181661564992912,-0.001090830782496456,186.0,-1.4375,-2.0,-0.05,0.0,-0.39,-0.25,0.34,-317.89
1686659466.042225,3.5,2025.125,-46.1875,-0.3,0.33,9.38,0.001090830782496456,0.003272492347489368,-0.002181661564992912,186.0,-1.4375,-2.0,-0.04,-0.01,-0.38,-0.25,0.34,9.790000000000001
1686659466.09386,3.875,-23.5625,-46.5,-0.27,0.35000000000000003,9.39,-0.001090830782496456,-0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.01,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659466.143673,3.875,-22.875,-45.75,-0.29,0.33,9.4,0.001090830782496456,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659466.194526,3.875,-22.5,-45.75,-0.3,0.35000000000000003,9.35,0.001090830782496456,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,-0.01,-0.39,-0.25,0.34,9.790000000000001
1686659466.246213,4.6875,-23.5625,-47.0,-0.28,0.34,9.370000000000001,0.001090830782496456,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.38,-0.25,0.34,9.790000000000001
